Date,AAPL,AGG,EFA,IAU,IEF,IWM,NVDA,QQQ,SMH,SPY,VGT,VIG,VTI,VWO
2015-07-01,27.1101016998291,82.54940032958984,48.46905517578125,21.15999984741211,85.05653381347656,107.14207458496094,0.482786625623703,103.6886978149414,23.321849822998047,176.9553985595703,97.67926025390625,65.75459289550781,91.59425354003906,28.6038875579834
2015-08-01,25.201452255249023,82.2754898071289,44.87016296386719,21.959999084472656,85.12395477294922,100.80615234375,0.5440124273300171,96.61250305175781,22.159109115600586,166.1699676513672,92.0149154663086,61.89682388305664,86.01480102539062,25.782310485839844
2015-09-01,24.763229370117188,82.93537139892578,42.88740921020508,21.559999465942383,86.4656753540039,95.55586242675781,0.599035918712616,94.25070190429688,22.30668830871582,161.09246826171875,89.91097259521484,60.39791488647461,83.07779693603516,24.699951171875
2015-10-01,26.828699111938477,83.00616455078125,45.723121643066406,22.040000915527344,85.91918182373047,101.21830749511719,0.689437985420227,105.22225189208984,24.243093490600586,175.7037353515625,100.2839126586914,64.85491180419922,90.10655975341797,26.36357879638672
2015-11-01,26.55927848815918,82.67550659179688,45.37895584106445,20.559999465942383,85.55154418945312,104.51795196533203,0.7708485722541809,105.86288452148438,24.954153060913086,176.3459014892578,101.47323608398438,65.0279312133789,90.64791107177734,25.758214950561523
2015-12-01,23.732858657836914,82.22911071777344,43.934898376464844,20.459999084472656,85.02977752685547,98.83133697509766,0.804024338722229,103.85742950439453,23.827190399169922,172.27293395996094,98.3138198852539,64.0721206665039,88.22035217285156,24.751798629760742
2016-01-01,21.947141647338867,83.70513916015625,41.875274658203125,21.559999465942383,88.1373062133789,90.7462158203125,0.7144985198974609,96.97570037841797,22.717466354370117,164.67025756835938,92.88372802734375,62.987918853759766,83.64463806152344,23.44339370727539
2016-02-01,21.800596237182617,84.27154541015625,40.47893524169922,23.979999542236328,89.31665802001953,90.54349517822266,0.7649937272071838,95.45767974853516,23.041872024536133,164.53428649902344,91.98160552978516,63.70084762573242,83.63614654541016,23.367351531982422
2016-03-01,24.707202911376953,85.01536560058594,43.143306732177734,23.760000228881836,89.26089477539062,97.5063247680664,0.8723224997520447,101.69737243652344,25.1664981842041,174.7008056640625,99.80925750732422,67.35678100585938,89.16536712646484,26.2949275970459
2016-04-01,21.250141143798828,85.232421875,44.10188293457031,24.959999084472656,89.11241912841797,99.4345703125,0.8698740601539612,98.74850463867188,23.969398498535156,176.29391479492188,95.5036849975586,67.47415924072266,90.1722640991211,26.606447219848633
2016-05-01,22.63750457763672,85.25715637207031,44.064144134521484,23.440000534057617,89.02922821044922,101.66231536865234,1.1438368558883667,103.0638656616211,25.99806785583496,179.29290771484375,100.6076889038086,68.11571502685547,91.73622131347656,25.7457218170166
2016-06-01,21.803741455078125,86.8965072631836,42.131893157958984,25.520000457763672,91.77609252929688,101.6446304321289,1.1539255380630493,100.44852447509766,26.048328399658203,178.9853515625,97.95506286621094,69.35723114013672,91.58240509033203,26.834949493408203
2016-07-01,23.76744270324707,87.37718200683594,44.70810317993164,26.040000915527344,92.0102767944336,107.02831268310547,1.4015988111495972,107.91807556152344,29.013662338256836,186.4779815673828,105.71571350097656,71.33393859863281,95.6439208984375,28.40119171142578
2016-08-01,24.198505401611328,87.19346618652344,44.94690704345703,25.200000762939453,91.079833984375,109.53610229492188,1.5056753158569336,109.0512924194336,30.251882553100586,186.70127868652344,108.18421173095703,71.3423080444336,95.84134674072266,28.623563766479492
2016-09-01,25.92328453063965,87.23707580566406,45.5477409362793,25.3799991607666,91.29703521728516,110.40721130371094,1.6850179433822632,111.18661499023438,31.741409301757812,185.77366638183594,110.46002960205078,70.31188201904297,95.566650390625,28.85359764099121
2016-10-01,26.03564453125,86.52786254882812,44.53865051269531,24.639999389648438,89.93658447265625,105.6228256225586,1.7499396800994873,109.84093475341797,31.193113327026367,183.4750518798828,110.2375259399414,69.27886962890625,93.92745208740234,29.29509735107422
2016-11-01,25.34312629699707,84.30108642578125,43.745243072509766,22.579999923706055,86.12967681884766,117.30824279785156,2.2673473358154297,110.31974792480469,32.4678840637207,190.23399353027344,110.81763458251953,71.34097290039062,98.14552307128906,28.107772827148438
2016-12-01,26.6948184967041,84.3200454711914,44.46931457519531,22.15999984741211,85.88983917236328,120.19612884521484,2.6288394927978516,111.23987579345703,32.73289489746094,192.95306396484375,111.87655639648438,71.69449615478516,99.47388458251953,27.766321182250977
2017-01-01,27.969406127929688,84.85535430908203,46.40780258178711,23.34000015258789,86.33721160888672,121.03199005126953,2.6889328956604004,117.3035888671875,34.28622817993164,197.56356811523438,117.11104583740234,73.4463119506836,101.95280456542969,29.506593704223633
2017-02-01,31.574199676513672,85.23147583007812,46.960365295410156,24.079999923706055,86.830322265625,123.36792755126953,2.499293565750122,122.43567657470703,35.18436813354492,205.32611083984375,122.89547729492188,76.623779296875,105.71985626220703,30.169389724731445
2017-03-01,33.25509262084961,85.18353271484375,48.47797775268555,24.020000457763672,86.91255187988281,123.04573059082031,2.686161994934082,124.6579818725586,36.71352767944336,204.6922607421875,125.3256607055664,76.20864868164062,105.30317687988281,30.97257423400879
2017-04-01,33.252784729003906,85.95410919189453,49.65315246582031,24.420000076293945,87.86454010009766,124.81825256347656,2.571988105773926,128.32374572753906,36.70891571044922,207.62342834472656,128.60198974609375,77.88810729980469,106.9029769897461,31.51201629638672
2017-05-01,35.36161422729492,86.5324478149414,51.41202926635742,24.399999618530273,88.59137725830078,122.35887908935547,3.5596022605895996,133.3250274658203,39.60601806640625,210.5536346435547,134.27235412597656,79.114013671875,107.98411560058594,31.82448387145996
2017-06-01,33.476036071777344,86.52464294433594,50.74272918701172,23.8799991607666,88.13754272460938,126.4877700805664,3.568535089492798,129.88075256347656,37.70378875732422,210.86753845214844,130.49208068847656,78.8926773071289,108.50727081298828,31.894784927368164
2017-07-01,34.57082748413086,86.81717681884766,52.93241500854492,24.440000534057617,88.47118377685547,127.01736450195312,4.011638641357422,135.52381896972656,39.536930084228516,216.2511749267578,136.2738037109375,79.91340637207031,111.05669403076172,33.80875778198242
